City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,awbari,26.5921,12.7805,23.090000000000032,9,1,3.32,LY,1674041931
118,puerto ayora,-0.7393,-90.3518,23.08000000000004,98,68,2.29,EC,1674041441
119,torbay,47.6666,-52.7314,6.430000000000007,95,75,11.32,CA,1674041499
120,udachnyy,66.4167,112.4,-42.52999999999997,64,100,1.74,RU,1674041558
121,palaikastron,35.2,26.25,17.610000000000014,58,28,9.77,GR,1674041932
122,almeria,37.1667,-2.3333,9.870000000000005,50,9,10.62,ES,1674041932
123,xining,36.6167,101.7667,-12.989999999999952,75,51,0.83,CN,1674041677
124,luwuk,-0.9516,122.7875,25.55000000000001,87,88,1.6,ID,1674041933
125,hithadhoo,-0.6,73.0833,27.590000000000032,63,11,2.64,MV,1674041432
126,port elizabeth,-33.918,25.5701,29.620000000000005,70,20,7.72,ZA,1674041419
127,dunedin,-45.8742,170.5036,16.560000000000002,86,54,1.79,NZ,1674041402
128,faribault,44.295,-93.2688,-3.079999999999984,90,100,0.0,US,1674041935
129,codrington,-38.2667,141.9667,13.189999999999998,60,100,6.4,AU,1674041477
130,longyearbyen,78.2186,15.6401,-13.089999999999975,78,0,3.6,SJ,1674041516
131,dikson,73.5069,80.5464,-24.079999999999984,71,100,4.48,RU,1674041434
132,ponta do sol,32.6667,-17.1,18.400000000000034,53,29,3.42,PT,1674041507
133,salinopolis,-0.6136,-47.3561,23.25,94,100,2.83,BR,1674041935
134,olafsvik,64.8945,-23.7142,-4.729999999999961,72,45,4.54,IS,1674041465
135,scottsbluff,41.8666,-103.6672,-1.3599999999999568,94,100,3.09,US,1674041936
136,upernavik,72.7868,-56.1549,-23.839999999999975,94,100,2.24,GL,1674041490
137,naze,28.3667,129.4833,13.510000000000048,67,97,6.33,JP,1674041520
138,yalutorovsk,56.6536,66.3006,-8.359999999999957,84,60,4.11,RU,1674041937
139,invermere,50.5167,-116.0354,-11.519999999999982,96,93,0.52,CA,1674041937
140,port alfred,-33.5906,26.891,27.32000000000005,81,43,2.24,ZA,1674041284
141,inhambane,-23.865,35.3833,33.99000000000001,59,40,5.14,MZ,1674041937
